AA,LCN,Πεδίο
569,10057775,676 ## $a 014 $v 23η έκδ.
,,676 ## $a 929.408989 $v 23η έκδ.
570,10057788,676 ## $a 780.92 $v 22η έκδ.
,,676 ## $a 781.3 $v 22η έκδ.
571,10058489,676 ## $a 304.6 $v 22η έκδ.
,,676 ## $a 304.609495 $v 22
572,10059830,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ
573,10061156,676 ## $a 781.46117 $v 22η έκδ.
,,676 ## $a 781.46 $v 22η έκδ.
574,10062347,676 ## $a 780.92 $v 22η έκδ.
,,"676 ## $a 784.2092 $v 22η έκδ,"
575,10063644,676 ## $a 889.2 $v Ελλ. έκδ.
,,676 ## $a 889.2092 $v Ελλ. έκδ.
576,10063766,676 ## $a 940 $v 22η έκδ.
,,676 ## $a 907.2 $v 23η έκδ.
577,10064124,676 ## $a 809.9 $v 22η έκδ.
,,676 ## $a 808.849 $v 22η έκδ.
578,10064712,676 ## $a 709.04074 $v 22η έκδ.
,,676 ## $a 006.7 $v 23η έκδ.
579,10066808,676 ## $a 788.32186 $v 22η έκδ.
,,676 ## $a 784.2832 $v 22η έκδ.
580,10066912,676 ## $a 889.092 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
581,10067394,676 ## $a 182 $v 22η έκδ.
,,686 ## $a PLE $v Τοπική
582,10068990,676 ## $a 889.21 $v Τοπική
,,676 ## $a 889.209 $v Τοπική
583,10071671,676 ## $a 440.143 $v 22η έκδ.
,,676 ## $a 401 $v 21η έκδ.
584,10073229,676 ## $a 622.094955 $v 23η έκδ.
,,676 ## $a 622.35094955 $v 23η έκδ.
585,10073681,676 ## $a 070.5722 $v 23η έκδ.
,,686 ## $a MIC 11392
